actor_id,actor_name,actor_slug,first_year,last_year,film_count
פסח_בר_אדון,פסח בר אדון,פסח_בר_אדון,1933,1933,1
יהושע_ברטונוב,יהושע ברטונוב,יהושע_ברטונוב,1933,1933,1
חנה_רובינא,חנה רובינא,חנה_רובינא,1933,1933,1
__name__:אברהם סורוקה-דוריון,אברהם סורוקה-דוריון,,1949,1949,1
__name__:יהודה בן-משה,יהודה בן-משה,,1949,1949,1
__name__:חווה אלפרשטיין (אגמון),חווה אלפרשטיין (אגמון),,1949,1949,1
__name__:מרגלית עובד,מרגלית עובד,,1955,1955,1
__name__:אדוארד מולהייר,אדוארד מולהייר,,1955,1955,1
__name__:סוזי לקלר,סוזי לקלר,,1955,1955,1
עמוס_מוקדי,עמוס מוקדי,עמוס_מוקדי,1959,1959,1
__name__:שלמה יעקבי,שלמה יעקבי,,1959,1959,1
נחמה_הנדל,נחמה הנדל,נחמה_הנדל,1959,1959,1
ליאו_פילר,ליאו פילר,ליאו_פילר,1960,1960,1
בתיה_לנצט,בתיה לנצט,בתיה_לנצט,1960,1960,1
__name__:משה קדם,משה קדם,,1960,1960,1
דליה_לביא,דליה לביא,דליה_לביא,1960,1960,1
יפתח_ספקטור,יפתח ספקטור,יפתח_ספקטור,1962,1962,1
אהוד_בנאי,אהוד בנאי,אהוד_בנאי,1962,1962,1
דינה_דורון,דינה דורון,דינה_דורון,1962,1962,1
__name__:רונית כץ,רונית כץ,,1962,1962,1
שמעון_ישראלי,שמעון ישראלי,שמעון_ישראלי,1962,1963,2
רחל_אטאס,רחל אטאס,רחל_אטאס,1963,1963,1
__name__:ורוניק ונדל,ורוניק ונדל,,1964,1964,1
רינה_גנור,רינה גנור,רינה_גנור,1964,1964,1
אברהם_הפנר,אברהם הפנר,אברהם_הפנר,1964,1964,1
גאולה_גיל,גאולה גיל,גאולה_גיל,1964,1964,1
מאיר_מרגלית,מאיר מרגלית,מאיר_מרגלית,1964,1964,1
מישה_אשרוב,מישה אשרוב,מישה_אשרוב,1965,1965,1
חיה_הררית,חיה הררית,חיה_הררית,1955,1965,3
עזריה_רפפורט,עזריה רפפורט,עזריה_רפפורט,1965,1965,1
מיכאל_שילה,מיכאל שילה,מיכאל_שילה,1965,1965,1
__name__:שאול שלחין,שאול שלחין,,1965,1965,1
שושנה_דמארי,שושנה דמארי,שושנה_דמארי,1956,1965,2
זלמן_לביוש,זלמן לביוש,זלמן_לביוש,1965,1965,1
יוסי_ידין,יוסי ידין,יוסי_ידין,1955,1965,2
אודי_מרפי,אודי מרפי,אודי_מרפי,1966,1966,1
מישא_אשרוב,מישא אשרוב,מישא_אשרוב,1967,1967,1
אהרן_מסקין,אהרן מסקין,אהרן_מסקין,1933,1967,2
פאני_לוביץ',פאני לוביץ',פאני_לוביץ',1967,1967,1
איריס_יוטבת,איריס יוטבת,איריס_יוטבת,1967,1967,1
__name__:דסי הדרי,דסי הדרי,,1968,1968,1
__name__:ליאורה רימון,ליאורה רימון,,1968,1968,1
אילי_גורליצקי,אילי גורליצקי,אילי_גורליצקי,1967,1968,3
__name__:תקווה מור,תקווה מור,,1968,1968,1
אריאל_פורמן,אריאל פורמן,אריאל_פורמן,1968,1968,1
שמואל_רודנסקי,שמואל רודנסקי,שמואל_רודנסקי,1966,1968,2
יעקב_אלפרין,יעקב אלפרין,יעקב_אלפרין,1968,1968,1
שלישיית_הגשש_החיוור,שלישיית הגשש החיוור,שלישיית_הגשש_החיוור,1968,1968,1
בטי_סגל,בטי סגל,בטי_סגל,1968,1968,1
יעקב_הלפרין,יעקב הלפרין,יעקב_הלפרין,1969,1969,1
אברהם_רונאי,אברהם רונאי,אברהם_רונאי,1969,1969,1
דן_בן_אמוץ,דן בן אמוץ,דן_בן_אמוץ,1964,1969,2
הילית_ישורון,הילית ישורון,הילית_ישורון,1969,1969,1
עירית_שילה,עירית שילה,עירית_שילה,1969,1969,1
אלונה_איינשטיין,אלונה איינשטיין,אלונה_איינשטיין,1970,1970,1
מוטי_ברכאן,מוטי ברכאן,מוטי_ברכאן,1970,1970,1
שלום_חנוך,שלום חנוך,שלום_חנוך,1970,1970,1
