actor_id,actor_name,actor_slug
__name__:.,.,
אבי_אוריה,אבי אוריה,אבי_אוריה
__name__:אבי בירנבאום,אבי בירנבאום,
אבי_גרייניק,אבי גרייניק,אבי_גרייניק
אבי_דיכטר,אבי דיכטר,אבי_דיכטר
אבי_דנגור,אבי דנגור,אבי_דנגור
אבי_טולדנו,אבי טולדנו,אבי_טולדנו
אבי_יקיר,אבי יקיר,אבי_יקיר
אבי_נשר,אבי נשר,אבי_נשר
__name__:אבי סויסה,אבי סויסה,
אבי_פניני,אבי פניני,אבי_פניני
אבי_קושניר,אבי קושניר,אבי_קושניר
__name__:אבי שניידמן,אבי שניידמן,
אביב_אלוש,אביב אלוש,אביב_אלוש
אביבה_גר,אביבה גר,אביבה_גר
אביבה_מרקס,אביבה מרקס,אביבה_מרקס
אביבה_נגוסה,אביבה נגוסה,אביבה_נגוסה
אביבה_פז,אביבה פז,אביבה_פז
אביגיל_אריאלי,אביגיל אריאלי,אביגיל_אריאלי
אביגיל_הררי,אביגיל הררי,אביגיל_הררי
__name__:אביה ברוש,אביה ברוש,
אביה_מלכה,אביה מלכה,אביה_מלכה
אביטל_אברג'יל,אביטל אברג'יל,אביטל_אברג'יל
אביטל_דיקר,אביטל דיקר,אביטל_דיקר
אבינועם_מור_חיים,אבינועם מור חיים,אבינועם_מור_חיים
אבישי_אביבי,אבישי אביבי,אבישי_אביבי
__name__:אביתר מור,אביתר מור,
אבנר_דן,אבנר דן,אבנר_דן
אבנר_חזקיהו,אבנר חזקיהו,אבנר_חזקיהו
אברהם_ארנסון,אברהם ארנסון,אברהם_ארנסון
אברהם_בן-יוסף,אברהם בן-יוסף,אברהם_בן-יוסף
אברהם_הפנר,אברהם הפנר,אברהם_הפנר
אברהם_חלפי,אברהם חלפי,אברהם_חלפי
אברהם_מור,אברהם מור,אברהם_מור
__name__:אברהם סורוקה-דוריון,אברהם סורוקה-דוריון,
אברהם_סלקטר,אברהם סלקטר,אברהם_סלקטר
אברהם_רונאי,אברהם רונאי,אברהם_רונאי
אברהם_שלום,אברהם שלום,אברהם_שלום
אברהם_שלום_לוי,אברהם שלום לוי,אברהם_שלום_לוי
אברי_גלעד,אברי גלעד,אברי_גלעד
אבשלום_פולק,אבשלום פולק,אבשלום_פולק
אגם_אוזלבו,אגם אוזלבו,אגם_אוזלבו
אגם_רודברג,אגם רודברג,אגם_רודברג
__name__:אדוארד מולהייר,אדוארד מולהייר,
אדיב_ג'השאן,אדיב ג'השאן,אדיב_ג'השאן
__name__:אדיב ספדי,אדיב ספדי,
אדיר_מילר,אדיר מילר,אדיר_מילר
__name__:אדית אסטרוק,אדית אסטרוק,
__name__:אדם אבולעפיה,אדם אבולעפיה,
אדם_גבאי,אדם גבאי,אדם_גבאי
אדם_הירש,אדם הירש,אדם_הירש
__name__:אדם חתוכה פלד,אדם חתוכה פלד,
__name__:אדם צקמן,אדם צקמן,
אדר_גולד,אדר גולד,אדר_גולד
אדריאן_פסדר,אדריאן פסדר,אדריאן_פסדר
אהובה_קרן,אהובה קרן,אהובה_קרן
אהוד_בנאי,אהוד בנאי,אהוד_בנאי
אהרון_איפלה,אהרון איפלה,אהרון_איפלה
אהרון_אלמוג,אהרון אלמוג,אהרון_אלמוג
אהרן_טרייטל,אהרן טרייטל,אהרן_טרייטל
אהרן_מסקין,אהרן מסקין,אהרן_מסקין
אוגוסט_דיל,אוגוסט דיל,אוגוסט_דיל
אודי_ואביעד,אודי ואביעד,אודי_ואביעד
__name__:אודי כהן,אודי כהן,
אודי_מרפי,אודי מרפי,אודי_מרפי
__name__:אודי ערן,אודי ערן,
אודי_פרסי,אודי פרסי,אודי_פרסי
__name__:אודי קנבל,אודי קנבל,
__name__:אוהד הול,אוהד הול,
אוהד_קנולר,אוהד קנולר,אוהד_קנולר
אוהד_שחר,אוהד שחר,אוהד_שחר
אווה_חדד,אווה חדד,אווה_חדד
אוולין_הגואל,אוולין הגואל,אוולין_הגואל
אוולין_קפלון,אוולין קפלון,אוולין_קפלון
אולג_לוין,אולג לוין,אולג_לוין
אולגה_קורילנקו,אולגה קורילנקו,אולגה_קורילנקו
אולה_שור-סלקטר,אולה שור-סלקטר,אולה_שור-סלקטר
און_רפאלי,און רפאלי,און_רפאלי
__name__:אוסי הלל,אוסי הלל,
אופיר_נהרי,אופיר נהרי,אופיר_נהרי
אופירה_רחמים,אופירה רחמים,אופירה_רחמים
אופליה_שטראל,אופליה שטראל,אופליה_שטראל
אופק_פסח,אופק פסח,אופק_פסח
אור_אילן,אור אילן,אור_אילן
__name__:אור ברק,אור ברק,
__name__:אור יעקב,אור יעקב,
__name__:אור עדי,אור עדי,
אוראל_צברי,אוראל צברי,אוראל_צברי
__name__:אורי אבינועם,אורי אבינועם,
אורי_אברהמי,אורי אברהמי,אורי_אברהמי
אורי_בלופרב,אורי בלופרב,אורי_בלופרב
אורי_בנאי,אורי בנאי,אורי_בנאי
אורי_ברויר,אורי ברויר,אורי_ברויר
אורי_גבריאל,אורי גבריאל,אורי_גבריאל
אורי_גוטליב,אורי גוטליב,אורי_גוטליב
אורי_הוכמן,אורי הוכמן,אורי_הוכמן
אורי_ורדי,אורי ורדי,אורי_ורדי
אורי_זוהר,אורי זוהר,אורי_זוהר
__name__:אורי זוהר,אורי זוהר,
אורי_חזקיה,אורי חזקיה,אורי_חזקיה
אורי_יניב,אורי יניב,אורי_יניב
אורי_כבירי,אורי כבירי,אורי_כבירי
אורי_לוי_(שחקן),אורי לוי,אורי_לוי_(שחקן)
אורי_לייזרוביץ',אורי לייזרוביץ',אורי_לייזרוביץ'
__name__:אורי סלי,אורי סלי,
אורי_פפר,אורי פפר,אורי_פפר
אורי_קלאוזנר,אורי קלאוזנר,אורי_קלאוזנר
__name__:אורית סמואל,אורית סמואל,
אורית_פוקס,אורית פוקס,אורית_פוקס
אורלי_בן-גרטי,אורלי בן-גרטי,אורלי_בן-גרטי
אורלי_זילברשץ,אורלי זילברשץ,אורלי_זילברשץ
__name__:אורלי טובלי פולק,אורלי טובלי פולק,
אורלי_פרל,אורלי פרל,אורלי_פרל
__name__:אורן בלנגה,אורן בלנגה,
__name__:אורן פרג',אורן פרג',
אורן_שבו,אורן שבו,אורן_שבו
אורנה_בנאי,אורנה בנאי,אורנה_בנאי
אורנה_כץ,אורנה כץ,אורנה_כץ
אורנה_פורת,אורנה פורת,אורנה_פורת
אורנה_פיטוסי,אורנה פיטוסי,אורנה_פיטוסי
__name__:אורנלה בס,אורנלה בס,
אושיק_לוי,אושיק לוי,אושיק_לוי
אושרי_כהן,אושרי כהן,אושרי_כהן
אושרי_סהר,אושרי סהר,אושרי_סהר
איבון_מיקלוש,איבון מיקלוש,איבון_מיקלוש
__name__:איגור אובלוזה,איגור אובלוזה,
איה_קורן,איה קורן,איה_קורן
__name__:אייל בן אהרון,אייל בן אהרון,
אייל_גפן,אייל גפן,אייל_גפן
אייל_נחמיאס,אייל נחמיאס,אייל_נחמיאס
__name__:אייל סלמה,אייל סלמה,
אייל_רוזלס,אייל רוזלס,אייל_רוזלס
אייל_שכטר,אייל שכטר,אייל_שכטר
איילת_זורר,איילת זורר,איילת_זורר
איילת_מרגלית,איילת מרגלית,איילת_מרגלית
אילי_גורליצקי,אילי גורליצקי,אילי_גורליצקי
אילן_גנני,אילן גנני,אילן_גנני
אילן_דר,אילן דר,אילן_דר
__name__:אילן חזן,אילן חזן,
אילן_קובץ',אילן קובץ',אילן_קובץ'
אילנית_בן-יעקב,אילנית בן-יעקב,אילנית_בן-יעקב
אילנית_לוי,אילנית לוי,אילנית_לוי
__name__:אימוס איינו,אימוס איינו,
אינה_בקלמן,אינה בקלמן,אינה_בקלמן
איצ'ו_אביטל,איצ'ו אביטל,איצ'ו_אביטל
__name__:איציק זוהר,איציק זוהר,
איציק_כהן_(שחקן),איציק כהן,איציק_כהן_(שחקן)
__name__:איציק עצמון,איציק עצמון,
איציק_פצצתי,איציק פצצתי,איציק_פצצתי
איקה_זוהר,איקה זוהר,איקה_זוהר
איריס_דוידסקו,איריס דוידסקו,איריס_דוידסקו
איריס_יוטבת,איריס יוטבת,איריס_יוטבת
__name__:איריס קריינר,איריס קריינר,
אירית_אלטר,אירית אלטר,אירית_אלטר
אירית_סוקי,אירית סוקי,אירית_סוקי
__name__:איתי בוזגלו,איתי בוזגלו,
איתי_זבולון_(שחקן),איתי זבולון,איתי_זבולון_(שחקן)
איתי_טיראן,איתי טיראן,איתי_טיראן
איתי_לב_(במאי),איתי לב,איתי_לב_(במאי)
איתי_תורג'מן,איתי תורג'מן,איתי_תורג'מן
__name__:איתמר קליגר,איתמר קליגר,
איתמר_רוטשילד,איתמר רוטשילד,איתמר_רוטשילד
איתן_אנשל,איתן אנשל,איתן_אנשל
__name__:איתן בלום,איתן בלום,
איתן_מסורי,איתן מסורי,איתן_מסורי
