big_star,big_star_eigenvector,costar,n_shared_films
אוולין הגואל,0.3018984783989393,הרצל טובי,4
אוולין הגואל,0.3018984783989393,דניאל אסייג,3
אוולין הגואל,0.3018984783989393,עפר שכטר,3
אוולין הגואל,0.3018984783989393,שרלין חזיזה,3
אוולין הגואל,0.3018984783989393,עדי אלון,3
אוולין הגואל,0.3018984783989393,שלומי קוריאט,3
אוולין הגואל,0.3018984783989393,אריק משעלי,3
אוולין הגואל,0.3018984783989393,חי דוידוב,3
יגאל עדיקא,0.23979589309350963,אוולין הגואל,3
יגאל עדיקא,0.23979589309350963,שלומי קוריאט,3
יגאל עדיקא,0.23979589309350963,מוטי בן ישי,3
יגאל עדיקא,0.23979589309350963,אוראל צברי,3
יגאל עדיקא,0.23979589309350963,שלום אסייג,2
יגאל עדיקא,0.23979589309350963,הרצל טובי,2
יגאל עדיקא,0.23979589309350963,גרא סנדלר,2
יגאל עדיקא,0.23979589309350963,עפר שכטר,2
שלומי קוריאט,0.2390867089144788,אוולין הגואל,3
שלומי קוריאט,0.2390867089144788,מוטי בן ישי,3
שלומי קוריאט,0.2390867089144788,יגאל עדיקא,3
שלומי קוריאט,0.2390867089144788,אוראל צברי,3
שלומי קוריאט,0.2390867089144788,אורי גבריאל,2
שלומי קוריאט,0.2390867089144788,הרצל טובי,2
שלומי קוריאט,0.2390867089144788,גרא סנדלר,2
שלומי קוריאט,0.2390867089144788,דניאל אסייג,2
מוטי בן ישי,0.2345303372632105,אוולין הגואל,3
מוטי בן ישי,0.2345303372632105,שלומי קוריאט,3
מוטי בן ישי,0.2345303372632105,יגאל עדיקא,3
מוטי בן ישי,0.2345303372632105,אוראל צברי,3
מוטי בן ישי,0.2345303372632105,הרצל טובי,2
מוטי בן ישי,0.2345303372632105,גרא סנדלר,2
מוטי בן ישי,0.2345303372632105,עפר שכטר,2
מוטי בן ישי,0.2345303372632105,דניאל אסייג,2
אוראל צברי,0.23395569148986545,אוולין הגואל,3
אוראל צברי,0.23395569148986545,שלומי קוריאט,3
אוראל צברי,0.23395569148986545,מוטי בן ישי,3
אוראל צברי,0.23395569148986545,יגאל עדיקא,3
אוראל צברי,0.23395569148986545,הרצל טובי,2
אוראל צברי,0.23395569148986545,גרא סנדלר,2
אוראל צברי,0.23395569148986545,עפר שכטר,2
אוראל צברי,0.23395569148986545,דניאל אסייג,2
הרצל טובי,0.22506012794137903,אוולין הגואל,4
הרצל טובי,0.22506012794137903,חיים זנאתי,2
הרצל טובי,0.22506012794137903,מוריס כהן,2
הרצל טובי,0.22506012794137903,דניאל אסייג,2
הרצל טובי,0.22506012794137903,עפר שכטר,2
הרצל טובי,0.22506012794137903,שרלין חזיזה,2
הרצל טובי,0.22506012794137903,עדי אלון,2
הרצל טובי,0.22506012794137903,שלומי קוריאט,2
אריק משעלי,0.21425630759364397,אוולין הגואל,3
אריק משעלי,0.21425630759364397,הרצל טובי,2
אריק משעלי,0.21425630759364397,גרא סנדלר,2
אריק משעלי,0.21425630759364397,שלומי קוריאט,2
אריק משעלי,0.21425630759364397,עפר שכטר,2
אריק משעלי,0.21425630759364397,דניאל אסייג,2
אריק משעלי,0.21425630759364397,שרלין חזיזה,2
אריק משעלי,0.21425630759364397,עדי אלון,2
יפה לוי,0.2123663360834587,אוולין הגואל,3
יפה לוי,0.2123663360834587,הרצל טובי,2
יפה לוי,0.2123663360834587,גרא סנדלר,2
יפה לוי,0.2123663360834587,שלומי קוריאט,2
יפה לוי,0.2123663360834587,עפר שכטר,2
יפה לוי,0.2123663360834587,דניאל אסייג,2
יפה לוי,0.2123663360834587,שרלין חזיזה,2
יפה לוי,0.2123663360834587,עדי אלון,2
