,degree,betweenness,closeness,eigenvector,display_name,n_costars,n_collaborations,n_films,avg_distance_giant_component,most_important_costar
משה_איבגי,0.05158371040723982,0.06826194768734663,0.3437308308537423,0.0071234115488168145,משה איבגי,57,65,23,2.6012145748987856,אורי גבריאל
ליאור_אשכנזי,0.044343891402714934,0.05912889932144327,0.34107653872359756,0.011672028915502732,ליאור אשכנזי,49,51,16,2.6214574898785425,עפר שכטר
שרון_אלכסנדר,0.04343891402714932,0.0498239873051066,0.31674013456225086,0.009812478345017918,שרון אלכסנדר,48,49,11,2.8228744939271255,יפה לוי
אורי_גבריאל,0.0497737556561086,0.04780704930803438,0.3274233637116819,0.041966525371411094,אורי גבריאל,55,58,15,2.730769230769231,יגאל עדיקא
שלומי_קוריאט,0.056108597285067875,0.04558189215286503,0.3303620924809715,0.2390867089144788,שלומי קוריאט,62,81,8,2.7064777327935223,אוולין הגואל
ריימונד_אמסלם,0.05067873303167421,0.042796976526772806,0.3314777618364419,0.03009880150899738,ריימונד אמסלם,56,67,13,2.6973684210526314,אוולין הגואל
דאנה_איבגי,0.03619909502262444,0.04140266785117342,0.319720678716655,0.011161584601210497,דאנה איבגי,40,42,11,2.7965587044534415,עפר שכטר
אלון_אבוטבול,0.03619909502262444,0.037798899893495365,0.3263347747669441,0.0038006266164819914,אלון אבוטבול,40,44,21,2.7398785425101213,אורנה בנאי
אקי_אבני,0.027149321266968326,0.029370027194167127,0.30067673086933894,0.001714260293280369,אקי אבני,30,31,10,2.973684210526316,אלברט אילוז
דרור_קרן,0.03167420814479638,0.029095830152513748,0.3109427086568524,0.013250686070970076,דרור קרן,35,37,9,2.875506072874494,יגאל עדיקא
יעל_אבקסיס,0.034389140271493215,0.028986617048596945,0.32839711349223705,0.004650491948597313,יעל אבקסיס,38,44,14,2.722672064777328,יגאל נאור
אושרי_כהן,0.027149321266968326,0.02884077527108254,0.3049320798391846,0.008473264017942418,אושרי כהן,30,30,9,2.932186234817814,שלומי קוריאט
יוסי_מרשק,0.03981900452488688,0.028681047003078292,0.30747937183923346,0.0031614500652917877,יוסי מרשק,44,48,9,2.9078947368421053,הילה סעדה
חיים_זנאתי,0.044343891402714934,0.027180163168434426,0.3041970507211149,0.04461275593140303,חיים זנאתי,49,52,7,2.9392712550607287,אוולין הגואל
מוטי_בן_ישי,0.04072398190045249,0.027038201846855448,0.29328958675103506,0.2345303372632105,מוטי בן ישי,45,63,4,3.048582995951417,אוולין הגואל
ששון_גבאי,0.0334841628959276,0.026985467076975255,0.3152706050300206,0.019216650800470702,ששון גבאי,37,40,10,2.8360323886639676,אוולין הגואל
יחזקאל_לזרוב,0.03167420814479638,0.026649872449984756,0.3047217093115273,0.004959727262529829,יחזקאל לזרוב,35,37,11,2.9342105263157894,ריימונד אמסלם
גילה_אלמגור,0.025339366515837104,0.026563324032090368,0.307051871843628,0.002376106827342944,גילה אלמגור,28,32,13,2.911943319838057,ריימונד אמסלם
ח'ליפה_נאטור,0.011764705882352941,0.02414150536307044,0.25546218487394956,0.0006870246698521505,ח'ליפה נאטור,13,13,4,3.5,ששון גבאי
צחי_גראד,0.025339366515837104,0.023857978152565087,0.2953487914724566,0.0014621927494149508,צחי גראד,28,28,8,3.027327935222672,דרור קרן
עידן_אלתרמן,0.014479638009049774,0.02345882827894425,0.25568400442666217,0.00032183718992839994,עידן אלתרמן,16,16,3,3.4969635627530367,שרון אלכסנדר
ריקי_בליך,0.02895927601809955,0.023345639673575135,0.27239846910086885,0.0018379132136155936,ריקי בליך,32,32,7,3.282388663967611,אסתי זקהיים
יגאל_נאור,0.03619909502262444,0.022081584289649812,0.3141494435612083,0.02131581529796417,יגאל נאור,40,40,6,2.8461538461538463,אוולין הגואל
אריה_צ'רנר,0.024434389140271493,0.021534714064371702,0.29834118044380875,0.00563652948657034,אריה צ'רנר,27,27,5,2.9969635627530367,מוריס כהן
אורי_הוכמן,0.02262443438914027,0.020565225853894774,0.30451162885009225,0.0020073424156675547,אורי הוכמן,25,25,4,2.9362348178137654,ליאור אשכנזי
דין_מירושניקוב,0.024434389140271493,0.01936425449165104,0.2567989056087551,0.0025991687460237343,דין מירושניקוב,27,27,3,3.4817813765182186,חיים זנאתי
חנה_לסלאו,0.02171945701357466,0.018771509987581803,0.3058823529411765,0.0024088899995251658,חנה לסלאו,24,25,6,2.923076923076923,ריימונד אמסלם
טלי_שרון,0.02262443438914027,0.01832478858596348,0.29397279044729374,0.007479696474445978,טלי שרון,25,28,7,3.041497975708502,שלומי קוריאט
רונית_אלקבץ,0.01990950226244344,0.01816284924701794,0.30930960619541936,0.005558350174846505,רונית אלקבץ,22,24,11,2.8906882591093117,מוריס כהן
שמיל_בן_ארי,0.02171945701357466,0.017516638941929615,0.30812285849114673,0.007974881465652945,שמיל בן ארי,24,24,10,2.901821862348178,שלומי קוריאט
מוריס_כהן_(שחקן),0.0334841628959276,0.017458872613683576,0.3086611583836889,0.11244568798135661,מוריס כהן,37,39,5,2.896761133603239,אוולין הגואל
עוז_זהבי,0.027149321266968326,0.017317515117088865,0.2831372549019608,0.007880833816248893,עוז זהבי,30,31,7,3.1578947368421053,שלומי קוריאט
עפר_שכטר,0.041628959276018104,0.017201863012748758,0.31061471001902874,0.21193429399994984,עפר שכטר,46,61,5,2.8785425101214575,אוולין הגואל
אורי_פפר,0.024434389140271493,0.016152836127819523,0.2989469493381109,0.007489551113906115,אורי פפר,27,27,6,2.9908906882591095,שלומי קוריאט
מעין_וינשטוק,0.012669683257918552,0.016073185126893565,0.22523922368539462,0.006279537979164706,מעין וינשטוק,14,14,3,3.9696356275303644,מוטי בן ישי
זאב_רווח,0.034389140271493215,0.01601905008494164,0.30336134453781516,0.012561037034777341,זאב רווח,38,38,7,2.9473684210526314,אריק משעלי
אלברט_אילוז,0.03257918552036199,0.015837765789545415,0.30747937183923346,0.020476261243604226,אלברט אילוז,36,37,6,2.9078947368421053,אוולין הגואל
תיקי_דיין,0.024434389140271493,0.01577670474146157,0.2791116067279993,0.0009121230569645148,תיקי דיין,27,27,5,3.2034412955465585,ליאור אשכנזי
קובי_פרג',0.02986425339366516,0.01575894393025088,0.29426656738644824,0.004227312400194427,קובי פרג',33,33,5,3.0384615384615383,אורי גבריאל
קרן_מור,0.02262443438914027,0.015753157799112582,0.2950528507996385,0.0018329213643441089,קרן מור,25,27,9,3.0303643724696356,מנשה נוי
אסי_דיין,0.017194570135746608,0.015477217976810585,0.2771848871333912,0.0007368054571575501,אסי דיין,19,24,10,3.2257085020242915,טלי שרון
לירון_בן-שלוש,0.012669683257918552,0.01366446504978316,0.2644874955970412,0.0008311469188781755,לירון בן-שלוש,14,14,4,3.380566801619433,דאנה איבגי
אוהד_קנולר,0.01900452488687783,0.013262581188221148,0.2805297666859694,0.0007189672925141077,אוהד קנולר,21,21,5,3.187246963562753,ליאור אשכנזי
הילה_סעדה,0.025339366515837104,0.013232045889533523,0.29358199910073707,0.012414212864363994,הילה סעדה,28,30,4,3.0455465587044532,אריק משעלי
מוני_מושונוב,0.02262443438914027,0.013189583680277372,0.32018420996524743,0.006549472212920877,מוני מושונוב,25,28,9,2.79251012145749,מוריס כהן
רותם_קינן,0.028054298642533938,0.013044384021035745,0.29935216377299817,0.00912289048675478,רותם קינן,31,31,4,2.986842105263158,יפה לוי
אוולין_הגואל,0.04524886877828054,0.01299097996378755,0.3156085156463443,0.3018984783989393,אוולין הגואל,50,85,7,2.832995951417004,יגאל עדיקא
מורן_רוזנבלט,0.011764705882352941,0.012852552383135044,0.2817825311942959,0.0076051948947667165,מורן רוזנבלט,13,13,4,3.173076923076923,שלומי קוריאט
אדם_גבאי,0.013574660633484163,0.012173142651869548,0.23531918894355827,0.0006397936012127801,אדם גבאי,15,15,2,3.799595141700405,אליאנה תדהר
ענת_וקסמן,0.016289592760180997,0.01199947940333271,0.2929977563164569,0.00818370911433794,ענת וקסמן,18,18,4,3.0516194331983804,עפר שכטר
אסתי_זקהיים,0.024434389140271493,0.011749664703044962,0.28115475343542895,0.0317843969664133,אסתי זקהיים,27,27,4,3.1801619433198383,יגאל עדיקא
ישראל_אטיאס,0.02986425339366516,0.011694719366144628,0.28765491217652805,0.039810525194940355,ישראל אטיאס,33,33,4,3.1082995951417005,יגאל עדיקא
אניה_בוקשטיין,0.01809954751131222,0.01162211862041557,0.28973048058186873,0.0064313374253832985,אניה בוקשטיין,20,20,5,3.0860323886639676,עפר שכטר
מיכאל_מושונוב,0.01809954751131222,0.011528704849283037,0.28709399912061023,0.0015112683903349532,מיכאל מושונוב,20,21,8,3.1143724696356276,מנשה נוי
ג'וי_ריגר,0.01809954751131222,0.011208783079045473,0.276577406165973,0.0014343342183654982,ג'וי ריגר,20,20,4,3.2327935222672064,ששון גבאי
יפה_לוי,0.041628959276018104,0.01119263820540672,0.30190985485103133,0.2123663360834587,יפה לוי,46,61,3,2.9615384615384617,אוולין הגואל
נטלי_עטיה,0.013574660633484163,0.011067528889194569,0.2829558729321325,0.0011204166031667123,נטלי עטיה,15,16,4,3.159919028340081,דאנה איבגי
רועי_אסף,0.02895927601809955,0.0109523856169449,0.3039876928059593,0.01681334403619326,רועי אסף,32,46,8,2.9412955465587043,עדי אלון
דביר_בנדק,0.01990950226244344,0.010949407869012528,0.3005744250745552,0.004040260971112418,דביר בנדק,22,22,7,2.9746963562753037,אורי גבריאל
אליאנה_תדהר,0.01900452488687783,0.0107875263599214,0.2782325150532654,0.013387100308074587,אליאנה תדהר,21,23,4,3.2135627530364372,שלומי קוריאט
שי_אביבי,0.01900452488687783,0.010731549421364093,0.29106696385308656,0.0029167220895106867,שי אביבי,21,21,6,3.0718623481781377,אורי גבריאל
יפתח_קליין,0.016289592760180997,0.01036697733093345,0.27814491035709,0.0008817060770755421,יפתח קליין,18,18,5,3.214574898785425,מנשה נוי
דב_נבון,0.02171945701357466,0.009817922942739886,0.28672127078679577,0.0013304749957049728,דב נבון,24,25,6,3.1184210526315788,דרור קרן
יבגניה_דודינה,0.015384615384615385,0.009769866761743394,0.30263385929911535,0.00428332444222428,יבגניה דודינה,17,18,8,2.9544534412955468,אורי גבריאל
רמי_הויברגר,0.020814479638009052,0.009705127963113609,0.28223266303326444,0.0010181774491054149,רמי הויברגר,23,23,8,3.168016194331984,מנשה נוי
בני_אבני,0.015384615384615385,0.009678374334353857,0.2382384669077987,0.0002395737121951256,בני אבני,17,17,4,3.7530364372469633,עירית קפלן
