actor_id,display_name,algorithm,community_id,community_size
גאולה_נוני,גאולה נוני,louvain,0,2
__name__:זאב רווח,זאב רווח,louvain,0,2
__name__:תכלת סמל,תכלת סמל,louvain,1,1
__name__:איגור אובלוזה,איגור אובלוזה,louvain,2,3
__name__:דוד מזרחי,דוד מזרחי,louvain,2,3
גבריאל_לוין,גבריאל לוין,louvain,2,3
__name__:שרון פרידמן,שרון פרידמן,louvain,3,66
יואב_דונט,יואב דונט,louvain,3,66
עידן_עמדי,עידן עמדי,louvain,3,66
דור_פלס,דור פלס,louvain,3,66
נולי_עומר,נולי עומר,louvain,3,66
__name__:גור יערי,גור יערי,louvain,3,66
רבקה_נוימן,רבקה נוימן,louvain,3,66
גל_מלכה_(שחקנית),גל מלכה,louvain,3,66
אפרת_אביב,אפרת אביב,louvain,3,66
אדם_הירש,אדם הירש,louvain,3,66
עומר_ברנע,עומר ברנע,louvain,3,66
עדי_עזרוני,עדי עזרוני,louvain,3,66
מירב_גרובר,מירב גרובר,louvain,3,66
תמר_אלקן,תמר אלקן,louvain,3,66
טינקרבל,טינקרבל,louvain,3,66
הילה_וידור,הילה וידור,louvain,3,66
__name__:נור פיבק,נור פיבק,louvain,3,66
בועז_קונפורטי,בועז קונפורטי,louvain,3,66
__name__:ענת לירי,ענת לירי,louvain,3,66
ריקי_גל,ריקי גל,louvain,3,66
סנדרה_שדה,סנדרה שדה,louvain,3,66
__name__:מעיין תורג'מן,מעיין תורג'מן,louvain,3,66
יובל_ינאי,יובל ינאי,louvain,3,66
__name__:שרון בראדלי,שרון בראדלי,louvain,3,66
אליענה_בקייר,אליענה בקייר,louvain,3,66
יעקב_בודו,יעקב בודו,louvain,3,66
אמיר_טסלר,אמיר טסלר,louvain,3,66
זהר_שטראוס,זהר שטראוס,louvain,3,66
ענת_קלאוזנר,ענת קלאוזנר,louvain,3,66
טל_קלאי,טל קלאי,louvain,3,66
עזרא_דגן,עזרא דגן,louvain,3,66
הילה_רוח,הילה רוח,louvain,3,66
שרה_פון_שוורצה,שרה פון שוורצה,louvain,3,66
__name__:גור בנטביץ',גור בנטביץ',louvain,3,66
גלעד_כהנא,גלעד כהנא,louvain,3,66
נטלי_פורטמן,נטלי פורטמן,louvain,3,66
__name__:סימור דניאל,סימור דניאל,louvain,3,66
שרון_הכהן-בר,שרון הכהן-בר,louvain,3,66
מיכל_ויינברג,מיכל ויינברג,louvain,3,66
נינט_טייב,נינט טייב,louvain,3,66
אסי_דיין,אסי דיין,louvain,3,66
מכרם_ח'ורי,מכרם ח'ורי,louvain,3,66
אולגה_קורילנקו,אולגה קורילנקו,louvain,3,66
אנסטסיה_פיין,אנסטסייה פיין,louvain,3,66
רומי_אבירם,רומי אבירם,louvain,3,66
נטע_מורן,נטע מורן,louvain,3,66
ציון_אשכנזי,ציון אשכנזי,louvain,3,66
עלי_סולימאן,עלי סולימאן,louvain,3,66
עמוס_שוב,עמוס שוב,louvain,3,66
__name__:אלינור קלוגר,אלינור קלוגר,louvain,3,66
הדס_ירון,הדס ירון,louvain,3,66
__name__:קוסטה קפלן,קוסטה קפלן,louvain,3,66
טליה_ברטפלד,טליה ברטפלד,louvain,3,66
__name__:ליאור סורוקה,ליאור סורוקה,louvain,3,66
לאורה_ריבלין,לאורה ריבלין,louvain,3,66
שירה_גפן,שירה גפן,louvain,3,66
גיל_ססובר,גיל ססובר,louvain,3,66
אורי_בלופרב,אורי בלופרב,louvain,3,66
__name__:זוהר דינר,זוהר דינר,louvain,3,66
טלי_שרון,טלי שרון,louvain,3,66
דני_גבע,דני גבע,louvain,3,66
