u_name,v_name,y_prob,common_neighbors
אלכסנדר סנדרוביץ',מוטי בן ישי,0.0765743972500695,0
אסתי זקהיים,מוטי בן ישי,0.08420196301649677,0
יוסי מרשק,מורן אטיאס,0.10013641906370246,0
הרצל טובי,מוטי בן ישי,0.10536774095417596,0
אביב אלוש,מעיין בלום,0.11518776745001666,0
אליאנה תדהר,תום אבני,0.1279600664588126,0
אוולין הגואל,אלכסנדר סנדרוביץ',0.12816477019949304,0
אברהם סלקטר,שמואל וילוז'ני,0.1333335932442944,0
יוסי מרשק,צחי הלוי,0.14973593853848904,0
גיא לואל,ניב סולטן,0.15150362041883583,0
יגאל נאור,שולי רנד,0.1544593800291305,0
עינת שרוף,רני בלייר,0.15780561921391068,0
קוסטה קפלן,הדס ירון,0.1583095389874694,0
אלכסנדר סנדרוביץ',הרצל טובי,0.16556337498242552,0
אסתי זקהיים,ישראל אטיאס,0.16759125735573502,0
