u,v,probability,u_career_length,v_career_length,director_overlap
__name__:קוסטה קפלן,עומר_ברנע,0.012696889336449703,0,8,0
גיא_לואל,ריימונד_אמסלם,0.35115147431818616,1,7,1
הילה_סעדה,זאב_רווח,0.3026409564756139,1,48,1
אנחל_בונני,אריה_צ'רנר,0.45108244197763336,1,6,1
הילה_ערן,ענת_וקסמן,0.38019707702391886,1,28,1
גיא_לואל,תיקי_דיין,0.39909246341147375,1,31,1
זהר_ליבה,ירון_ברלד,0.43218974921785464,13,1,1
יגאל_עדיקא,ישראל_אטיאס,0.3387467193224486,5,1,0
גיא_עמיר,יוסי_מרשק,0.4923904207568643,1,2,0
גיא_לואל,ניב_סולטן,0.2882152733399265,1,1,0
ג'וליה_מסלאווי,ישראל_אטיאס,0.2637032327174942,1,1,0
מוטי_בן_ישי,שלום_אסייג,0.42727444908425183,1,1,1
נועם_אימבר,שראל_פיטרמן,0.398498418862859,1,1,0
מאור_שוויצר,נועם_אימבר,0.4486826340031037,4,1,0
__name__:קוסטה קפלן,טלי_שרון,0.03647623723923725,0,15,0
אסתי_זקהיים,יגאל_עדיקא,0.48949606748945135,18,5,1
הילה_סעדה,ענת_וקסמן,0.44092917365925643,1,28,1
גיא_לואל,נועם_אימבר,0.41230177117696515,1,1,0
ניב_סולטן,עמית_רהב,0.1832638962070192,1,1,0
נועם_אימבר,ריימונד_אמסלם,0.478354430267338,1,7,0
אסתי_זקהיים,מוטי_בן_ישי,0.3405369528195987,18,1,1
__name__:מעיין תורג'מן,הדס_ירון,0.13396500832140748,0,1,0
ניב_סולטן,שראל_פיטרמן,0.35146955458071183,1,1,0
הילה_סעדה,ריימונד_אמסלם,0.2824677629141837,1,7,1
דין_מירושניקוב,ניר_לוי,0.4376090461446399,1,14,1
יעקב_זדה-דניאל,נטע_גרטי,0.339578942292858,1,8,0
ניב_סולטן,ריימונד_אמסלם,0.4370863274409023,1,7,1
אביגיל_הררי,אלישע_בנאי,0.47713645923567943,1,1,1
נטע_שפיגלמן,עמית_רהב,0.2501505378674626,3,1,0
גיא_עמיר,מורן_אטיאס,0.4584874154846694,1,1,0
אברהם_סלקטר,שמואל_וילוז'ני,0.36956651857615386,18,4,1
נטע_שפיגלמן,שראל_פיטרמן,0.41545905228169566,3,1,1
גיא_עמיר,ליאור_אשכנזי,0.4274720653205056,1,17,0
אבי_גרייניק,מורן_אטיאס,0.4536393455739906,1,1,1
יוסי_מרשק,רותם_אבוהב,0.4984972496150159,2,12,1
ישראל_אטיאס,מוטי_בן_ישי,0.3214900440642011,1,1,0
עידית_טפרסון,תיקי_דיין,0.49681424136957425,24,31,1
דניאל_גל,מעיין_בלום,0.4081026327944665,1,1,0
__name__:ניתאי גבירץ,יותם_ישי,0.1431559540886552,0,1,0
עירית_קפלן,עמית_רהב,0.20462118465688245,9,1,0
עמוס_תמם,שולי_רנד,0.3636411506830952,1,4,1
עירית_קפלן,שראל_פיטרמן,0.3775889822083751,9,1,1
גרא_סנדלר,שלום_אסייג,0.37791969006844967,14,1,1
הדס_ירון,טלי_שרון,0.4103731463368519,1,15,1
דין_מירושניקוב,הילה_סעדה,0.1754457441152604,1,1,1
יגאל_עדיקא,מוטי_בן_ישי,0.4426182783516388,5,1,1
אלון_נוימן,עידן_אלתרמן,0.4696251055498877,1,5,0
אסתי_זקהיים,ג'וליה_מסלאווי,0.496061926419455,18,1,1
__name__:מעיין תורג'מן,עומר_ברנע,0.15975382404277466,0,8,0
לבנה_פינקלשטיין,צחי_הלוי,0.4956060983273314,47,8,1
יון_תומרקין,שרון_אלכסנדר,0.31148088574929883,1,38,1
מאור_שוויצר,עמית_רהב,0.21826935471347791,4,1,0
אנחל_בונני,נלי_תגר,0.42910172623985904,1,15,1
ג'וליה_מסלאווי,מוטי_בן_ישי,0.40004029008616615,1,1,1
גרא_סנדלר,יגאל_עדיקא,0.33047943108619493,14,5,1
__name__:קוסטה קפלן,הדס_ירון,0.023923656518646065,0,1,0
גיא_לואל,עמית_רהב,0.12641963831929207,1,1,0
גרא_סנדלר,מוטי_בן_ישי,0.31226299229547594,14,1,1
רועי_אסף,שראל_פיטרמן,0.4760393734110527,8,1,1
אלישע_בנאי,רן_דנקר,0.4817255262827207,1,3,2
עמית_רהב,שראל_פיטרמן,0.4154474290098715,1,1,0
הילה_סעדה,הילה_ערן,0.37796921831882246,1,1,1
דור_הררי,שרון_אלכסנדר,0.3057152856231083,1,38,1
דין_מירושניקוב,הילה_ערן,0.3550733802289648,1,1,1
אסתי_זקהיים,ישראל_אטיאס,0.3676440188576984,18,1,0
גיא_לואל,שראל_פיטרמן,0.24602748054275406,1,1,1
__name__:מעיין תורג'מן,טלי_שרון,0.12816382574191787,0,15,0
עמית_רהב,ריימונד_אמסלם,0.36202324018815063,1,7,0
גיא_עמיר,צחי_הלוי,0.46120931005043064,1,8,0
הילה_סעדה,חיים_זנאתי,0.49543211804950216,1,10,1
גיא_עמיר,לבנה_פינקלשטיין,0.45327157877902,1,47,0
אורלי_זילברשץ,אלישע_בנאי,0.49117666793265574,11,1,1
אביגיל_הררי,אורלי_זילברשץ,0.49792557525538056,1,11,1
יוסי_מרשק,מורן_אטיאס,0.41411032046581747,2,1,1
אלכסנדר_סנדרוביץ',יגאל_עדיקא,0.391509063426149,1,5,0
אלישע_בנאי,תום_אבני,0.1953481403915653,1,1,0
נועם_אימבר,עמית_רהב,0.236928244983939,1,1,0
אליאנה_תדהר,תום_אבני,0.2535758694090039,3,1,0
דור_הררי,יון_תומרקין,0.2552896310564592,1,1,1
אלכסנדר_סנדרוביץ',מוטי_בן_ישי,0.06274732585705997,1,1,0
זהר_ליבה,ניר_לוי,0.48330730184196385,13,14,2
אבי_גרייניק,יוסי_מרשק,0.47236568911077453,1,2,1
