u_name,v_name,y_prob,common_neighbors
טלי שרון,מנשה נוי,0.9877618846012672,0
ליאור אשכנזי,עלי סלימאן,0.9866242788649833,1
אורי לייזרוביץ',אלון אבוטבול,0.9492617159669435,0
דאנה איבגי,דליה שימקו,0.9361984265829782,1
ארנון צדוק,סלים דאו,0.9336022603550689,1
דובלה גליקמן,ישראל אטיאס,0.8885057861484974,0
אורי פפר,מורן רוזנבלט,0.8676502666846659,1
אורי בלופרב,יבגניה דודינה,0.8640384194148297,0
דור הררי,יבגניה דודינה,0.8640384194143492,0
מאיה מרון,משה פולקנפליק,0.8411339820969534,0
יהורם גאון,נעמי לבוב,0.8388735746422702,1
זאב רווח,יעל פרל בקר,0.7998695274995385,0
איתן בלום,דאנה איבגי,0.7958329327659033,1
הרצל טובי,מוני מושונוב,0.793691110079465,1
משה פולקנפליק,שי אביבי,0.7928200621132838,0
