u,v,probability,u_career_length,v_career_length,director_overlap
יפתח_קליין,נועה_מימן,0.5529476350236439,10,1,1
אלון_אבוטבול,ז'ולייט_בינוש,0.7076661930517409,34,1,1
אסף_קורמן,ניר_לוי,0.5245442572852861,1,14,1
מלי_לוי,נתן_גושן,0.6401582019845478,11,1,1
יובל_סמו,ערן_איוניר,0.5433620981533274,9,1,1
רמי_הויברגר,שרון_אלכסנדר,0.9371416081193419,22,38,1
יעקב_כהן_(שחקן),עמוס_שוב,0.5742050124834789,5,1,0
לנה_אטינגר,שרון_אלכסנדר,0.698574289274008,10,38,1
בר_רפאלי,דב_נבון,0.5430640160599642,1,32,1
אלי_פיניש,שי_אביבי,0.872835509988314,5,27,1
אדם_הירש,אווה_חדד,0.5722411696301677,1,5,0
אביגיל_אריאלי,שלום_אסייג,0.5111735778968918,34,1,1
אוהד_קנולר,גיא_מרוז,0.5827142521577152,11,1,0
גל_תורן,סנדרה_שדה,0.5554503401057421,1,6,0
חני_נחמיאס,רן_דנקר,0.5514504529630128,29,3,0
הדס_קלדרון,שלמה_בראבא,0.6157769405592054,1,44,1
אוהד_קנולר,רזיה_ישראלי,0.6592319904811806,11,1,0
אסף_בן_שמעון,גל_אמיתי,0.5963540649022449,1,1,0
יעקב_פרי,לירון_לבו,0.5434945818393943,1,18,1
אוהד_קנולר,דניאלה_קרטס,0.6676685914959175,11,1,1
אינה_בקלמן,גילת_אנקורי,0.522337906034262,1,38,1
אולה_שור-סלקטר,רינת_מטטוב,0.5413979525024016,1,1,0
אריה_צ'רנר,שחר_ישי,0.6465887922849689,6,1,0
מאור_שוויצר,עדנה_בליליוס,0.7786590827601645,4,7,0
אורי_קלאוזנר,עופר_שכטר,0.8253510915484701,21,11,1
דניאל_ג'יידלין,הילה_פלדמן,0.7229510691989836,1,6,1
מיכאלה_עשת,תומר_קפון,0.6448288749537148,12,1,1
אסף_הרץ,שמיל_בן-ארי,0.5732667930456097,1,3,0
לירון_לבו,צביקה_הדר,0.6059953792798786,18,11,1
דב_נבון,מיכל_ינאי,0.5609988148838772,32,1,0
מנשה_נוי,ציון_ברוך,0.6633179488325289,19,6,1
אלי_פיניש,ג'יזל_סילבר,0.6026914485597932,5,1,0
טלי_שרון,נועה_קנולר,0.6373849845529916,15,1,1
דנה_פרידר,תאמר_נפאר,0.5056052632663977,5,1,0
יואב_הייט,נואל_ברקוביץ',0.5313746615578114,1,1,0
מנשה_נוי,נטלי_פורטמן,0.6657099105996152,19,11,1
דלית_קהן,רונית_אלקבץ,0.8342884572108666,8,23,2
מילי_אביטל,נאיה_בינשטוק,0.5708308580867606,15,1,1
דאנה_איבגי,מיכאלה_עשת,0.9255060640979333,14,12,1
דרור_קרן,זאב_רווח,0.8701270775217472,19,48,2
אסנת_חכים,רותם_זיסמן-כהן,0.677876982323452,3,5,1
דביר_בנדק,עופר_שכטר,0.8185021652441814,16,11,1
פאני_ארדן,שרון_טל,0.5560237641990955,1,4,1
יובל_סמו,תומר_שרון,0.5945246837409124,9,19,1
אמיר_טסלר,יפתח_קליין,0.7870539000018268,5,10,1
חנה_אזולאי-הספרי,רוי_מילר,0.5583879918068924,31,1,1
אורנה_בנאי,יוסי_פולק,0.6005457170370062,21,40,1
דב_גליקמן,שלמה_בר-שביט,0.5255156869821123,44,47,2
אסתי_ירושלמי,זאב_רווח,0.5971593924351598,5,48,2
אפרת_בן_צור,נתי_קלוגר,0.5935073217160232,12,6,1
אביטל_דיקר,רוזינה_קמבוס,0.6075390793104073,11,1,0
חיים_זנאתי,למיס_עמאר,0.5822299577939023,10,1,1
אגם_אוזלבו,יותם_ישי,0.5248443483204208,1,1,0
דאנה_איבגי,תאמר_נפאר,0.6948716283103118,14,1,0
ורד_פלדמן,יובל_סמו,0.6053185886027016,1,9,0
איציק_כהן_(שחקן),מיכה_סלקטר,0.7092154299765908,8,17,1
אלון_אבוטבול,אלי_אילדיס,0.7605888324649257,34,1,1
משה_אשכנזי_(שחקן),תובל_שפיר,0.5981621537732358,5,6,0
אוהד_קנולר,גבריאל_לוין,0.5340367224026998,11,1,1
עמית_רהב,שמיל_בן-ארי,0.5376078733873506,1,3,0
אברהם_מור,ולדימיר_פרידמן,0.5844362256779106,25,14,1
אסי_כהן,יונתן_בר-אור_(1981),0.6104450773579856,9,5,1
מוני_מושונוב,שלמה_בר-שביט,0.6189016593374933,38,47,1
נעמי_לבוב,שרון_שטרק,0.5224398901131118,3,1,1
גברי_לוי,ליאור_אשכנזי,0.5754477746001804,1,17,1
אורלי_פרל,חנן_סביון,0.6835269660907682,20,16,0
נטלי_עטיה,שירן_סנדל,0.6512337505276047,23,1,0
אולגה_קורילנקו,חנה_מרון,0.5109285860550669,1,44,1
דן_תורג'מן,פולי_רשף,0.6583966319642013,30,1,0
מנשה_נוי,רוני_הדר,0.6836046793977325,19,1,1
אליאנה_תדהר,מוחמד_בכרי,0.8197422871194141,3,33,0
דרור_קרן,יצחק_נאמן,0.6268183348692279,19,1,0
ליאור_אשכנזי,נועה_מימן,0.7520613448204275,17,1,1
אבי_אוריה,אסף_בן_שמעון,0.5478608101192523,35,1,1
יעל_פרל_בקר,שמעון_מימרן,0.6251022446211695,1,1,0
ברוך_ברנר,גורי_אלפי,0.6350833225852568,6,11,0
עודד_לאופולד,פנינה_רוזנבלום,0.5355759820296997,5,1,0
יובל_סגל_(1980),יובל_שרף,0.5301581338782396,1,6,0
גיל_פרנק,ירון_ברלד,0.6107124593081567,26,1,1
מילי_אביטל,שרון_אלימלך,0.6279429947437437,15,1,0
נועה_מימן,ריטה_זוהר,0.50238333721178,1,20,1
הילי_ילון,רוני_הדר,0.5287080012508305,11,1,1
דניאל_גל,תובל_שפיר,0.5854783656817492,1,6,0
איילת_זורר,ליאת_גליק,0.6407370491210694,12,17,1
אבי_פניני,עדנה_בליליוס,0.8004543765090358,1,7,1
גברי_לוי,חנה_לסלאו,0.5397318214963855,1,39,1
יעל_פרל_בקר,ששון_גבאי,0.5565714361758575,1,29,0
אוהד_קנולר,דלית_קהן,0.6243149102646834,11,8,3
יערה_פלציג,תומר_רוסו,0.5378613761585442,6,1,1
דור_הררי,דן_תורן,0.5215601611006827,1,35,1
אלי_גורנשטיין,מאור_שוויצר,0.5868604900558907,37,4,0
אושרי_סהר,אלכס_פלג,0.5128780546971183,1,50,1
גילת_אנקורי,מוני_מושונוב,0.7345273090723161,38,38,1
אלסנדרה_מוסוליני,נבו_קמחי,0.5095088763936195,1,1,0
אנה_דוברוביצקי,רן_יגיל,0.5151668041075051,2,1,1
דורי_בן_זאב,טינקרבל,0.5429945097621923,27,10,1
ג'וליאנו_מר,שבתאי_קונורטי,0.6631913287397835,19,1,1
יוסף_שילוח,נטלי_פורטמן,0.6276052898189816,37,11,1
בת_חן_סבג,חני_נחמיאס,0.5119567814186058,1,29,0
ענת_קלאוזנר,רבקה_מיכאלי,0.7140694248613445,1,2,0
אוהד_שחר,יעל_בר_זוהר,0.5638755561341091,1,1,0
הלנה_ירלובה,יהורם_גאון,0.5049247579756198,8,50,1
יהודה_ברקן,תומר_קפון,0.5025583315461328,24,1,1
אורי_יניב,שרית_לארי,0.5255873825253691,3,1,1
אביגיל_אריאלי,יובל_סמו,0.7017174921598418,34,9,1
חיים_זנאתי,חני_פירסטנברג,0.7135291229518027,10,3,1
אקי_אבני,עלית_קרייז,0.6632157878699941,25,1,1
אלי_גורנשטיין,רועי_אסף,0.7653453631441226,37,8,1
נטע_גרטי,רותם_סלע,0.654926681164087,8,1,0
אביגיל_אריאלי,אמיר_טסלר,0.6219043778451129,34,5,1
נלי_תגר,עפר_שכטר,0.8092564645185869,15,7,1
איצ'ו_אביטל,אסנת_פישמן,0.7044774104882859,22,1,2
לירון_בן-שלוש,שרון_שטרק,0.6361241324762601,7,1,1
נטע_גרטי,נעמי_לבוב,0.7321000581387643,8,3,1
גלית_גיאת,הילה_פלדמן,0.533898299251692,1,6,1
אורנה_בנאי,יגאל_עדיקא,0.6519088582408654,21,5,1
יסמין_עיון,ששון_גבאי,0.5519436664215143,1,29,0
אורי_הוכמן,איילת_זורר,0.8156667554212038,3,12,1
אביגיל_הררי,שרון_טל,0.6223657242630535,1,4,1
רון_שחר,שרה_אדלר,0.5068972723527275,1,11,1
חנה_אזולאי-הספרי,שרה_אדלר,0.7399541886206769,31,11,1
דפנה_דקל,ציון_ברוך,0.5061896207701327,5,6,0
איצ'ו_אביטל,בסאם_זועמוט,0.5166356720784923,22,1,0
אורנה_פורת,לירון_לב,0.6091217815905146,60,1,1
מיכאל_מושונוב,מיכל_זוארץ,0.6012266739719917,8,6,1
מיה_דגן,עוז_זהבי,0.7944564574177976,9,7,1
אלכס_אנסקי,עירית_קפלן,0.5697832973901727,1,9,1
מוטי_בן_ישי,נתן_גושן,0.5832229071372359,1,1,1
ארנון_צדוק,הרצל_טובי,0.6162812147938987,15,1,0
איציק_כהן_(שחקן),גיל_פרנק,0.7561196777841069,8,26,1
עדן_סבן,רותם_אבוהב,0.5869900077410303,1,12,1
אורי_בלופרב,נועם_אימבר,0.5357526520871483,1,1,0
נוה_צור,שרון_זליקובסקי,0.5045241861426891,1,1,0
יונה_אליאן,קרן_מור,0.6475459302313061,30,26,1
אורי_לייזרוביץ',אנה_ארונוב,0.5581919489742199,1,1,0
אלון_פרידמן,סיגלית_פוקס,0.5303090920145912,1,11,1
יובל_סגל_(1971),יונתן_צ'רצ'י,0.656214556427651,16,1,0
יפית_אסולין,עמוס_תמם,0.7406225182907983,1,1,0
דניאל_גל,קובי_מאור,0.5856156195554008,1,1,0
אלי_גורנשטיין,שלמה_בראבא,0.585221095955505,37,44,1
מוחמד_בכרי,עלי_סלימאן,0.8855935634094431,33,5,1
אורנה_פיטוסי,יאנה_יוסף,0.5911505082190355,8,3,1
