title,wiki_slug,year,screenwriters,directors,cast_from_list,genre,awards,notes,cast_count,period
יהודה המשוחררתאו ארץ ישראל המשוחררת,יהודה_המשוחררת,1918,[],"[{""name"": ""יעקב בן דב"", ""slug"": ""יעקב_בן_דב""}]",[],תיעודי,1918,,0,A (<=1970)
שיבת ציון (סרט),,1920,[],"[{""name"": ""יעקב בן דב"", ""slug"": ""יעקב_בן_דב""}]",[],,1920,,0,A (<=1970)
ארץ ישראל המתחדשת,,1921,[],"[{""name"": ""יעקב בן דב"", ""slug"": ""יעקב_בן_דב""}]",[],,1921,,0,A (<=1970)
"מעשה בתייר אמריקאי בא""י",,1923,[],"[{""name"": ""ויליאם טופקיס"", ""slug"": null}]",[],,1923,,0,A (<=1970)
בנים בונים,,1924,[],"[{""name"": ""יעקב בן דב"", ""slug"": ""יעקב_בן_דב""}]",[],,1924,,0,A (<=1970)
התיבה,,1927,[],"[{""name"": ""יעקב בן דב"", ""slug"": ""יעקב_בן_דב""}]",[],,1927,,0,A (<=1970)
אביב בארץ ישראל,,1928,[],"[{""name"": ""יעקב בן דב"", ""slug"": ""יעקב_בן_דב""}]",[],תיעודי,1928,,0,A (<=1970)
הרפתקאותיו של גדי בן סוסי,הרפתקאותיו_של_גדי_בן_סוסי,1931,[],"[{""name"": ""ברוך אגדתי"", ""slug"": ""ברוך_אגדתי""}]",[],,1931,סרט אנימציה קצר בן 10 דקות,0,A (<=1970)
יומן ארץ ישראל,,1932,[],"[{""name"": ""יעקב בן דב"", ""slug"": ""יעקב_בן_דב""}]",[],,1932,,0,A (<=1970)
צבר,צבר_(סרט),1933,[],"[{""name"": ""אלכסנדר פורד"", ""slug"": ""אלכסנדר_פורד""}]","[{""name"": ""רפאל קלצ'קין"", ""slug"": ""רפאל_קלצ'קין""}, {""name"": ""אהרן מסקין"", ""slug"": ""אהרן_מסקין""}, {""name"": ""שמעון פינקל"", ""slug"": ""שמעון_פינקל""}, {""name"": ""חנה רובינא"", ""slug"": ""חנה_רובינא""}, {""name"": ""יהושע ברטונוב"", ""slug"": ""יהושע_ברטונוב""}, {""name"": ""פסח בר אדון"", ""slug"": ""פסח_בר_אדון""}]",,1933,הפקה זרה עתירת תקציב מפולין שצולמה בארץ בהשתתפות שחקניהבימה,6,A (<=1970)
אביב,,1933,[],[],[],,1933,,0,A (<=1970)
עודד הנודד,עודד_הנודד,1933,[],"[{""name"": ""חיים הלחמי"", ""slug"": ""חיים_הלחמי""}]",[],,1933,,0,A (<=1970)
עבודה,עבודה_(סרט),1935,[],"[{""name"": ""הלמר לרסקי"", ""slug"": ""הלמר_לרסקי""}]",[],,1935,,0,A (<=1970)
מנגינה עברית,,1935,[],"[{""name"": ""הלמר לרסקי"", ""slug"": ""הלמר_לרסקי""}]",[],,1935,,0,A (<=1970)
זאת היא הארץ,זאת_היא_הארץ,1935,[],"[{""name"": ""ברוך אגדתי"", ""slug"": ""ברוך_אגדתי""}]",[],,1935,,0,A (<=1970)
התקווה,,1937,[],"[{""name"": ""ג'ורג' אנגל"", ""slug"": null}, {""name"": ""(עורך)"", ""slug"": null}]",[],,1937,,0,A (<=1970)
ילדי השמש,,1939,[],"[{""name"": ""הלמר לרסקי"", ""slug"": ""הלמר_לרסקי""}]",[],,1939,,0,A (<=1970)
אדמה,אדמה_(סרט),1947,[],"[{""name"": ""הלמר לרסקי"", ""slug"": ""הלמר_לרסקי""}]",[],,1947,,0,A (<=1970)
קרב ההישרדות[דרוש מקור],,1947,[],[],[],,1947,,0,A (<=1970)
בית הערבה (הבית במדבר),,1948,[],"[{""name"": ""בן עויזרמן"", ""slug"": ""בן_עויזרמן""}]",[],,1948,,0,A (<=1970)
אין ברירה,,1949,[],"[{""name"": ""יוסף לייטס"", ""slug"": ""יוסף_לייטס""}]",[],דרמה,1949,,0,A (<=1970)
אין זו אגדה,,1949,[],"[{""name"": ""יוסף קרומגולד"", ""slug"": null}]","[{""name"": ""חווה אלפרשטיין (אגמון)"", ""slug"": null}, {""name"": ""אברהם סורוקה-דוריון"", ""slug"": null}, {""name"": ""יהודה בן-משה"", ""slug"": null}]",,1949,,3,A (<=1970)
בא היום,,1950,[],[],[],,1950,,0,A (<=1970)
הפוגה,הפוגה_(סרט),1950,[],"[{""name"": ""עמרם עמר"", ""slug"": null}]",[],דרמה,1950,,0,A (<=1970)
קללה לברכה,קללה_לברכה,1950,[],"[{""name"": ""יוסף קרומגולד"", ""slug"": null}]",[],דרמה,1950,,0,A (<=1970)
אלפיים ושלוש,,1951,[],"[{""name"": ""ברוך דינר"", ""slug"": ""ברוך_דינר""}]",[],דרמה,1951,,0,A (<=1970)
עיר האוהלים (Tent City),עיר_האוהלים,1951,[],"[{""name"": ""אריה להולה"", ""slug"": ""אריה_להולה""}]","[{""name"": ""אורנה פורת"", ""slug"": ""אורנה_פורת""}]",דוקו-דרמה,1951,,1,A (<=1970)
