u,v,probability,u_career_length,v_career_length
אורנה_בנאי,איציק_כהן_(שחקן),0.3890695021238881,9,1
גרא_סנדלר,שירה_האס,0.32382554648001005,1,1
עירית_קפלן,רותם_אבוהב,0.47524818802986674,1,1
חיים_אוסדון,תומר_שרון,0.4775560762825676,1,1
מרים_זוהר,עודד_תאומי,0.4183311593168055,1,51
בני_אבני,עירית_קפלן,0.3347682843399513,3,1
אורנה_בנאי,חיים_זנאתי,0.38449375735821717,9,3
אבי_קושניר,שלמה_בראבא,0.43950028260832796,21,38
אליאנה_תדהר,נעמי_לבוב,0.31356531053006986,1,1
אברהם_סלקטר,איציק_כהן_(שחקן),0.29686828561679607,1,1
נתי_קלוגר,שלומי_קוריאט,0.48498545557379275,1,5
חנן_סביון,עדנה_בליליוס,0.3377535287059342,1,1
גילת_אנקורי,דודו_טסה,0.31303080354592955,16,1
אביגיל_אריאלי,זהר_ליבה,0.3477850102280842,21,1
אברהם_סלקטר,יגאל_נאור,0.34073468968272397,1,18
הילה_פלדמן,ישי_גולן,0.4174792716013699,1,1
אברהם_סלקטר,אורנה_בנאי,0.332924720322859,1,9
אודי_פרסי,שרון_אלכסנדר,0.4726958667738219,1,32
אודי_פרסי,שמיל_בן_ארי,0.45679833095223493,1,19
אברהם_סלקטר,חיים_זנאתי,0.3255600078999034,1,3
נטע_שפיגלמן,עלי_סלימאן,0.465637407629312,1,1
אודי_פרסי,יורם_חטב,0.34250609259203385,1,6
גילת_אנקורי,דביר_בנדק,0.451834069686985,16,15
צחי_הלוי,קלרה_ח'ורי,0.35902858824250755,1,9
גלעד_כהנא,תמר_אלקן,0.427593191552899,1,1
אולג_לוין,משה_אשכנזי_(שחקן),0.30476204297561427,1,1
אבי_קושניר,דב_גליקמן,0.4914352364390868,21,37
אביגיל_אריאלי,תובל_שפיר,0.31858140871201573,21,1
דניאל_גד,תובל_שפיר,0.4384496798466904,1,1
ישי_גולן,מיכאל_אלוני,0.43690396193866154,1,5
בני_אבני,רותם_אבוהב,0.32601475077926645,3,1
חיים_זנאתי,מוריס_כהן_(שחקן),0.3291109970254958,3,1
חיים_זנאתי,יגאל_נאור,0.3871016530710123,3,18
עפר_שכטר,תובל_שפיר,0.4469135498973485,4,1
אלונה_איב,גרא_סנדלר,0.4678594469545614,1,1
אליאנה_תדהר,עוז_זהבי,0.422923008340524,1,6
הילה_פלדמן,מיקי_לאון,0.47356675915319624,1,5
אברהם_סלקטר,אוולין_הגואל,0.32492501968354465,1,4
לנה_אטינגר,רותם_זיסמן-כהן,0.4565735457255801,1,4
חיים_זנאתי,רותם_זיסמן-כהן,0.38524957752556316,3,4
אודי_פרסי,אנה_דוברוביצקי,0.3161260563070784,1,1
אודי_פרסי,לירון_בן-שלוש,0.32944748149390995,1,6
__name__:יבגני אורלוב,אולג_לוין,0.3969596725323606,1,1
איציק_כהן_(שחקן),יגאל_נאור,0.43934110873474586,1,18
יואב_דונט,תמר_אלקן,0.2852753854904877,1,1
איציק_כהן_(שחקן),חיים_זנאתי,0.3311721412475952,1,3
דניאל_מורשת,עפר_שכטר,0.3694658088653561,1,4
אלונה_איב,שירה_האס,0.4935528453812167,1,1
גילת_אנקורי,קובי_פרג',0.3348922831819201,16,2
זהר_ליבה,תובל_שפיר,0.25795342077472927,1,1
אליאנה_תדהר,שלומי_קוריאט,0.3652090158406873,1,5
אלון_דהן_(שחקן),מוריס_כהן_(שחקן),0.4362941200289908,1,1
אורי_הוכמן,עופר_חיון,0.4995353273522709,1,7
נטע_שפיגלמן,עודד_לאופולד,0.4701603214663515,1,1
אליאנה_תדהר,דניאל_גד,0.3465249884308022,1,1
ישי_גולן,מיקי_לאון,0.432997010658937,1,5
אלון_דהן_(שחקן),חיים_זנאתי,0.3364134011308246,1,3
אבי_קושניר,גדי_יגיל,0.4289285887234469,21,43
דניאל_גד,דניאל_מורשת,0.4383796045448319,1,1
אליאנה_תדהר,עפר_שכטר,0.3697494649474679,1,4
אמיר_טסלר,נתן_רביץ,0.4820487623472292,1,1
נתן_רביץ,ריקי_בליך,0.4530594379456796,1,12
אורלי_פרל,שני_קליין,0.31254632132275817,1,1
אורי_פפר,זהר_ליבה,0.49646699224980406,2,1
יאנה_יוסף,עלי_סלימאן,0.46682459633668855,1,1
