u,v,probability,u_career_length,v_career_length
טל_פרידמן,עלי_סלימאן,0.5903912450040054,6,1
אושרי_כהן,קרן_מור,0.9193646062810956,14,25
__name__:משי אולינסקי,קרן_מור,0.6823051925881721,1,25
אוהד_שחר,יעקב_כהן_(שחקן),0.5923844117461982,1,5
יוסי_מרשק,צח_שפיצן,0.5818217525168078,2,1
מאור_כהן,נטע_מורן,0.578756046917477,11,3
__name__:מיכל טרבס,אתי_גרוטס,0.5378205399766057,1,39
יגאל_נאור,רותם_אבוהב,0.5808648563591395,18,1
עפר_שכטר,צביקה_הדר,0.6473997016802673,4,11
ליאת_גליק,עמי_סמולרצ'יק,0.7021589141200906,17,17
צופית_גרנט,רותם_זיסמן_כהן,0.6885092017509755,1,1
אנה_דוברוביצקי,חנה_אזולאי-הספרי,0.7731135604339617,1,31
אביטל_אברג'יל,אלברט_אילוז,0.7667820321874972,9,23
הדר_לוי,מכרם_ח'ורי,0.5780109435168683,1,27
__name__:מיכל טרבס,יגאל_נאור,0.5500071010886921,1,18
נטלי_עטיה,עופר_שכטר,0.5913440959544737,18,10
פטריק_סטיוארט,שירי_גדני,0.6053111499086946,1,1
רותם_זיסמן-כהן,רמי_דנון,0.59454283024387,4,1
אפרת_אביב,ריטה_שוקרון,0.5515902433779752,1,21
ארז_שפריר,קובי_פרג',0.5301325639469174,1,2
יערה_פלציג,עמנואל_הלפרין,0.518281649567343,1,1
גל_פרידמן_(שחקן),פטריק_סטיוארט,0.5850840237921913,1,1
__name__:אדם צקמן,__name__:מנשה נוי,0.500142292099033,1,1
יונתן_בר-אור_(1981),סאלח_בכרי,0.5248393292935796,5,1
אסתי_ירושלמי,לאורה_ריבלין,0.6487192859404911,5,45
איתי_זבולון_(שחקן),מיקי_לאון,0.5006917396780398,1,5
אייל_רוזלס,מילי_אביטל,0.5451144469005403,6,15
__name__:אלינור קלוגר,יבגניה_דודינה,0.5812402314451387,1,15
יונה_אליאן,ליאור_אשכנזי,0.7964942931978233,30,15
__name__:יעל בן דור,אסתר_רדא,0.6837403572538459,1,7
__name__:אלכסנדר פילינג,עומר_ברנע,0.5715327116143512,1,8
ח'ליפה_נאטור,סיון_לוי,0.6680720425180364,9,3
אילן_קובץ',מיכל_אמדורסקי,0.5095009650440012,1,8
__name__:עמית מושקוביץ,היאם_עבאס,0.5348116078835012,1,5
__name__:שולי רנד,זאב_רווח,0.5896976894451863,1,48
אלכס_אנסקי,רמי_הויברגר,0.6896309275949809,1,22
יוסף_סוויד,רמי_דנון,0.5101351873194678,9,1
__name__:אייל סלמה,גל_לב,0.505150663514432,1,1
__name__:מאיר דסה,עליזה_רוזן,0.5277726583089634,7,43
אסי_לוי,עליזה_רוזן,0.784181211170182,12,43
שלמה_בר-שביט,תומר_שרון,0.5599896352924149,47,1
גור_בנטביץ',קרן_ברגר,0.5325906241892965,1,2
__name__:יבגני אורלוב,נעמי_לבוב,0.5197710451185145,1,1
אוהד_שחר,רועי_בר_נתן,0.5030093634470161,1,1
אסי_כהן,דור_פלס,0.5096029819443592,9,1
אילן_דר,רבקה_נוימן,0.6558587994240421,52,7
חנה_אזולאי-הספרי,מנשה_נוי,0.9211261851814874,31,19
__name__:יואב סעדיאן רוזנברג,אפרת_דור,0.5124882378803549,1,4
אריה_צ'רנר,שמוליק_קראוס,0.6512662399368997,1,47
ירדן_בר-כוכבא,נטע_מורן,0.5232486973802855,1,3
גל_לב,סיון_לוי,0.5781280199521401,1,3
אינה_בקלמן,שאול_מזרחי,0.5300271888434434,1,20
יוסי_פולק,יוסף_שילוח,0.8148389465707149,40,37
גיל_דסיאנו_ביטון,יורם_חטב,0.5137787126898665,1,6
גור_בנטביץ',מאיה_מרון,0.5764280905845458,1,3
יגאל_נאור,סשה_אגרונוב,0.5189323642293524,18,1
__name__:עמית מושקוביץ,אורי_אברהמי,0.55661399816248,1,1
אורי_קלאוזנר,טל_פרידמן,0.8187037489987865,21,6
אסף_בן_שמעון,יעל_גרובגלס,0.5922300493659541,1,1
אסתי_ירושלמי,ישראל_פוליאקוב,0.6479458560630904,5,29
לאורה_ריבלין,לירון_בן-שלוש,0.6339800029618035,45,6
אלי_פיניש,נתן_רביץ,0.6359941734515085,5,1
אורי_גוטליב,נועה_קנולר,0.5076634624390568,24,1
ג'וליה_מסלאווי,רמי_הויברגר,0.5504956823542487,1,22
יעל_גרובגלס,שלום_מיכאלשווילי,0.5577559283065713,1,1
בר_מיניאלי,היאם_עבאס,0.5193549848767649,1,5
ז'רמן_אוניקובסקי,חנה_לסלאו,0.5891857490019242,42,39
איתי_לב_(במאי),מרדכי_שפיגלר,0.5199755280469534,1,1
אורי_פפר,עופר_שכטר,0.7189626063620312,2,10
__name__:אביתר מור,יוסי_מרשק,0.6878115814821136,1,2
גדליה_בסר,לירון_בן-שלוש,0.5977787644535125,38,6
דליה_שימקו,יעל_טוקר,0.6472035295746428,36,4
__name__:דן קיזלר,זהרירה_חריפאי,0.5315930671282189,1,44
נולי_עומר,עלי_סלימאן,0.5103814048271075,1,1
__name__:גור בנטביץ',אושרי_כהן,0.5461261399061089,1,14
גילה_אלמגור,עזרא_דגן,0.6766743974274733,52,26
מארק_אליהו,מריאנו_אידלמן,0.5304806577839073,1,5
לימור_גולדשטיין,מארק_אליהו,0.5596713952725915,7,1
מלי_לוי,סאלח_בכרי,0.5390584791717097,10,1
אסי_דיין,לימור_גולדשטיין,0.7659239755930278,41,7
הילה_סעדה,ריטה_זוהר,0.5225044919494002,1,20
גל_גדות,יעל_בר_זוהר,0.5318802997764314,1,1
אפרת_דור,רבקה_נוימן,0.6076303347946592,4,7
אסי_דיין,מוחמד_בכרי,0.7688963720075811,41,23
גל_זייד,מיכאל_הנגבי,0.5105387440388005,6,1
__name__:שרון פרידמן,מארק_אליהו,0.5239082915197719,9,1
אלברט_אילוז,שירה_האס,0.6415397318029783,23,1
אסי_כהן,חיים_שריר,0.5307568504632743,9,1
