u,v,score,genre_overlap,director_overlap,u_career_length,v_career_length,svd_cosine_sim,walk_cosine_sim
דין_מירושניקוב,הילה_ערן,0.3081936889078205,0,1,1,1,-0.007833040487970363,0.0028191845520784855
דין_מירושניקוב,ירון_ברלד,0.3100386374127173,0,1,1,1,-0.03099616277677583,-0.0012095752174158857
דין_מירושניקוב,זהר_ליבה,0.3152132003035494,1,1,1,13,-0.24414891533419653,0.009220248600819738
דין_מירושניקוב,חיים_זנאתי,0.40453253148587626,1,1,1,10,0.061899265959897594,-0.0004381228094444535
ניב_סולטן,עמית_רהב,0.4267295244014881,0,0,1,1,0.06925137631358076,0.3342701518660053
ניב_סולטן,שראל_פיטרמן,0.4295035177102609,0,0,1,1,0.05016368970193492,-0.1457044180664407
נועם_אימבר,ניב_סולטן,0.43391833211654457,0,0,1,1,-0.1782266819270948,0.1496817947637439
עמית_רהב,שראל_פיטרמן,0.43801113794661534,0,0,1,1,0.0031795780335117756,0.004673571605039031
נועם_אימבר,שראל_פיטרמן,0.4666354564210069,1,0,1,1,0.00898831255872198,0.06936421041467726
גל_אמיתי,נועם_אימבר,0.4770942626787424,0,0,1,1,-0.028768588941041798,0.434070432247971
ניב_סולטן,עירית_קפלן,0.48048043519245043,0,0,1,9,-0.12662798245136409,0.38086363361240283
גיא_עמיר,צחי_הלוי,0.4857699545071796,0,0,1,8,-0.0871141213456613,0.6005957921843945
נטע_שפיגלמן,ניב_סולטן,0.48704998638884406,0,0,3,1,0.027613372097184962,0.23835913004169143
דור_הררי,יון_תומרקין,0.4880513158880188,0,1,1,1,0.13817301337782756,0.4036453269610164
נועם_אימבר,עמית_רהב,0.4880614481305113,0,0,1,1,0.051086175640137683,0.9396263011909928
