model,n_estimators,max_depth,learning_rate,C,AUC,Precision,Recall,F1
LogisticRegression,,,,0.01,0.7372313550324022,0.5806451612903226,0.6596858638743456,0.6176470588235294
LogisticRegression,,,,0.1,0.7272910335737561,0.5588235294117647,0.6963350785340314,0.62004662004662
GradientBoosting,100.0,3.0,0.01,,0.7209479002672721,0.6021505376344086,0.5863874345549738,0.5941644562334217
RandomForest,300.0,8.0,,,0.7185955405850695,0.5665024630541872,0.6020942408376964,0.583756345177665
GradientBoosting,300.0,3.0,0.01,,0.7171768022553362,0.5694444444444444,0.643979057591623,0.6044226044226044
RandomForest,500.0,8.0,,,0.7168198293852743,0.5743589743589743,0.5863874345549738,0.5803108808290155
RandomForest,100.0,8.0,,,0.7164903159667557,0.5613207547169812,0.6230366492146597,0.5905707196029777
RandomForest,300.0,,,,0.7130670376743675,0.5686274509803921,0.6073298429319371,0.5873417721518988
RandomForest,300.0,12.0,,,0.7123713982352725,0.5742574257425742,0.6073298429319371,0.5903307888040712
RandomForest,500.0,,,,0.7116574524951488,0.5615763546798029,0.5968586387434555,0.5786802030456852
RandomForest,500.0,12.0,,,0.7113096327756014,0.5628140703517588,0.5863874345549738,0.5743589743589743
LogisticRegression,,,,1.0,0.7098268223922674,0.587378640776699,0.6335078534031413,0.6095717884130982
RandomForest,100.0,,,,0.7091494892542012,0.5441176470588235,0.581151832460733,0.5620253164556962
RandomForest,100.0,12.0,,,0.7084904624171637,0.551219512195122,0.5916230366492147,0.5707070707070707
GradientBoosting,100.0,3.0,0.1,,0.7031084099146926,0.5596330275229358,0.6387434554973822,0.5965770171149144
LogisticRegression,,,,10.0,0.6919049536850584,0.5888888888888889,0.5549738219895288,0.5714285714285714
GradientBoosting,300.0,3.0,0.1,,0.6889210266173618,0.5339366515837104,0.6178010471204188,0.5728155339805825
GradientBoosting,100.0,3.0,0.2,,0.6872368469227108,0.5342465753424658,0.612565445026178,0.5707317073170731
GradientBoosting,300.0,3.0,0.2,,0.6861567751620108,0.5231481481481481,0.5916230366492147,0.5552825552825553
GradientBoosting,300.0,5.0,0.01,,0.682047010581042,0.5358851674641149,0.5863874345549738,0.56
GradientBoosting,100.0,5.0,0.01,,0.6811591549811445,0.572972972972973,0.5549738219895288,0.5638297872340425
GradientBoosting,100.0,5.0,0.2,,0.6791820744700325,0.5794871794871795,0.5916230366492147,0.5854922279792746
GradientBoosting,300.0,5.0,0.2,,0.6742393731922528,0.5561224489795918,0.5706806282722513,0.5633074935400517
GradientBoosting,100.0,5.0,0.1,,0.6741478416871087,0.53,0.5549738219895288,0.5421994884910486
GradientBoosting,300.0,5.0,0.1,,0.6710357705122103,0.5372340425531915,0.5287958115183246,0.5329815303430079
