u,v,probability,u_career_length,v_career_length
גילה_אלמגור,מיקי_לאון,0.8806001600171552,52,5
אורי_פפר,שמיל_בן_ארי,0.8176150289455876,2,19
דביר_בנדק,קובי_פרג',0.7865078937657584,15,2
מיכאל_אלוני,מיקי_לאון,0.6201209078603316,5,5
אושרי_כהן,נעמי_לבוב,0.7286711544375916,14,1
אוולין_הגואל,אורנה_בנאי,0.6145266073548595,4,9
__name__:יבגני אורלוב,משה_אשכנזי_(שחקן),0.5173299832948675,1,1
דנה_פרידר,עופר_חיון,0.5503219240981878,1,7
גיל_פרנק,נתן_רביץ,0.5537094352195732,20,1
אפרת_בן_צור,שי_אביבי,0.6003432306097591,3,22
גילה_אלמגור,עודד_תאומי,0.8771269660993185,52,51
אושרי_כהן,אליאנה_תדהר,0.5532690044288534,14,1
אנה_דוברוביצקי,שרון_אלכסנדר,0.748429296849391,1,32
אורי_הוכמן,דאנה_איבגי,0.6580770283993983,1,12
אורנה_בנאי,יגאל_נאור,0.5003306146608343,9,18
הילה_פלדמן,מיכאל_אלוני,0.5620332375747464,1,5
אושרי_כהן,עוז_זהבי,0.7770767350103008,14,6
משה_איבגי,שרון_אלכסנדר,0.9937376708952154,32,32
יחזקאל_לזרוב,יעל_אבקסיס,0.997524230933115,19,23
אורי_פפר,תובל_שפיר,0.5059488667828503,2,1
גלעד_כהנא,יואב_דונט,0.5942585437201775,1,1
דאנה_איבגי,נטלי_עטיה,0.6432137832540256,12,18
יבגניה_דודינה,שי_אביבי,0.8339450691727534,15,22
טלי_שרון,נתי_קלוגר,0.5375635164268022,9,1
אורי_פפר,שלומי_קוריאט,0.6350852974588609,2,5
אריה_צ'רנר,נתן_רביץ,0.6817544771684023,1,1
דאנה_איבגי,שרון_אלכסנדר,0.9040663527041154,12,32
יורם_חטב,שרון_אלכסנדר,0.7086772900859623,6,32
אוולין_הגואל,מלי_לוי,0.626510296890928,4,10
אוולין_הגואל,יגאל_נאור,0.8222518422104773,4,18
