u,v,years_ahead,probability,v_career_length,director_overlap
אורי_גבריאל,שי_אביבי,1,0.9939972047519217,22,1
מיכאל_אלוני,מיקי_לאון,1,0.8120032473135609,5,2
אנה_דוברוביצקי,יורם_חטב,1,0.9037450142712866,6,1
יפתח_קליין,ליא_קניג,1,0.6156532362973464,45,1
דניאל_מורשת,עפר_שכטר,1,0.821613558112849,4,0
עוז_זהבי,עירית_שלג,1,0.8021756693866806,32,1
אלון_אבוטבול,עלי_סלימאן,1,0.9682497237514283,1,1
אודי_פרסי,שמיל_בן_ארי,1,0.7468959827672923,19,0
יפתח_קליין,קרן_מור,1,0.9949956255468067,25,1
אושרי_כהן,אליאנה_תדהר,1,0.5531716600078282,1,0
מיה_דגן,נתן_רביץ,1,0.8896573080498559,1,1
אלון_אבוטבול,יאנה_יוסף,1,0.8099693275903326,1,0
אודי_פרסי,לירון_בן-שלוש,1,0.548243137014688,6,0
חיים_זנאתי,יגאל_נאור,1,0.514255908020785,18,1
יובל_שרף,יערה_פלציג,1,0.808414375523139,1,1
אודי_פרסי,יורם_חטב,1,0.6627737000543182,6,0
דניאל_גד,עפר_שכטר,1,0.7825349236748003,4,0
אוולין_הגואל,יגאל_נאור,1,0.9637039973620637,18,1
אברהם_סלקטר,יגאל_נאור,1,0.5044413647065347,18,1
גילת_אנקורי,דביר_בנדק,1,0.5349036768732689,15,1
טלי_שרון,יאנה_יוסף,1,0.5558604132393911,1,0
ישי_גולן,מיקי_לאון,1,0.541583733882721,5,1
עפר_שכטר,תובל_שפיר,1,0.5208778884491438,1,0
עוז_זהבי,שלומי_קוריאט,1,0.7703272010960247,5,1
דניאל_גד,תובל_שפיר,1,0.6995196515194575,1,0
לירון_בן-שלוש,שמיל_בן_ארי,1,0.909278377671707,19,1
גיל_פרנק,מיה_דגן,1,0.8689268063016247,5,1
דביר_בנדק,רועי_אסף,1,0.9530440041435004,7,1
אנה_דוברוביצקי,שרון_אלכסנדר,1,0.8314577216776246,32,1
אוולין_הגואל,מיטל_גל_סויסה,1,0.916710107775399,2,1
