u,v,years_ahead,probability,v_career_length,director_overlap
עודד_לאופולד,עלי_סלימאן,1,0.3765685025476168,1,0
אברהם_סלקטר,אורנה_בנאי,1,0.25362343409402865,9,1
גילת_אנקורי,קובי_פרג',1,0.4047896095969859,2,1
גילת_אנקורי,דודו_טסה,1,0.06955296008681694,1,1
הילה_פלדמן,מיקי_לאון,1,0.4235320973378531,5,1
מרים_זוהר,עודד_תאומי,1,0.31380852966861944,51,0
מאור_שוויצר,רועי_ניק,1,0.46280328529466874,1,0
אליאנה_תדהר,נעמי_לבוב,1,0.2730635022913516,1,0
אודי_פרסי,אנה_דוברוביצקי,1,0.2669989429148263,1,0
איציק_כהן_(שחקן),חיים_זנאתי,1,0.298330361944694,3,1
אליאנה_תדהר,דניאל_גד,1,0.20937207820060816,1,0
יואב_דונט,תמר_אלקן,1,0.4386018167514675,1,1
אברהם_סלקטר,אוולין_הגואל,1,0.44312336434660066,4,1
אורלי_פרל,שני_קליין,1,0.07548001356500167,1,0
נטע_שפיגלמן,עלי_סלימאן,1,0.4167904324874621,1,1
אורנה_בנאי,יגאל_נאור,1,0.48498480807181127,18,1
אברהם_סלקטר,איציק_כהן_(שחקן),1,0.19421545148699912,1,1
איציק_כהן_(שחקן),יגאל_נאור,1,0.47753230043299616,18,1
הילה_פלדמן,ישי_גולן,1,0.3073294149797136,1,1
גלעד_כהנא,תמר_אלקן,1,0.31735712432566177,1,0
אולג_לוין,משה_אשכנזי_(שחקן),1,0.32880449204928475,1,0
__name__:יבגני אורלוב,אולג_לוין,1,0.4984408768924371,1,0
אלון_דהן_(שחקן),חיים_זנאתי,1,0.4508638510092361,3,1
לנה_אטינגר,רותם_זיסמן-כהן,1,0.4562399281034421,4,1
נטע_שפיגלמן,עודד_לאופולד,1,0.16387885236315114,1,0
חיים_זנאתי,מוריס_כהן_(שחקן),1,0.27583543835172797,1,1
גלעד_כהנא,יואב_דונט,1,0.3635591727158663,1,0
יאנה_יוסף,עלי_סלימאן,1,0.3894096810969668,1,0
אורנה_בנאי,איציק_כהן_(שחקן),1,0.3611973769747056,1,1
אורנה_בנאי,חיים_זנאתי,1,0.3495979655006438,3,1
אברהם_סלקטר,חיים_זנאתי,1,0.2473725878510892,3,1
עודד_לאופולד,עלי_סלימאן,2,0.38073845436540044,1,0
אברהם_סלקטר,אורנה_בנאי,2,0.25695676742736195,9,1
גילת_אנקורי,קובי_פרג',2,0.4077081863269575,2,1
גילת_אנקורי,דודו_טסה,2,0.06955296008681694,1,1
הילה_פלדמן,מיקי_לאון,2,0.4268654306711863,5,1
מרים_זוהר,עודד_תאומי,2,0.31380852966861944,51,0
מאור_שוויצר,רועי_ניק,2,0.46280328529466874,1,0
אליאנה_תדהר,נעמי_לבוב,2,0.2730635022913516,1,0
אורי_הוכמן,דאנה_איבגי,2,0.4352601722085753,12,0
אודי_פרסי,אנה_דוברוביצקי,2,0.2669989429148263,1,0
איציק_כהן_(שחקן),חיים_זנאתי,2,0.30124893867466557,3,1
בני_אבני,עירית_קפלן,2,0.4265781019986541,1,1
אליאנה_תדהר,דניאל_גד,2,0.20937207820060816,1,0
בני_אבני,רותם_אבוהב,2,0.42238272534946525,1,1
יואב_דונט,תמר_אלקן,2,0.44193515008480083,1,1
אברהם_סלקטר,אוולין_הגואל,2,0.446456697679934,4,1
אורלי_פרל,שני_קליין,2,0.07881334689833498,1,0
נטע_שפיגלמן,עלי_סלימאן,2,0.42096038430524574,1,1
אורנה_בנאי,יגאל_נאור,2,0.4872395133831945,18,1
אברהם_סלקטר,איציק_כהן_(שחקן),2,0.19421545148699912,1,1
איציק_כהן_(שחקן),יגאל_נאור,2,0.4804508771629678,18,1
הילה_פלדמן,ישי_גולן,2,0.3073294149797136,1,1
גלעד_כהנא,תמר_אלקן,2,0.31735712432566177,1,0
אולג_לוין,משה_אשכנזי_(שחקן),2,0.32880449204928475,1,0
__name__:יבגני אורלוב,אולג_לוין,2,0.49677858467896374,1,0
אלון_דהן_(שחקן),חיים_זנאתי,2,0.45419718434256945,3,1
לנה_אטינגר,רותם_זיסמן-כהן,2,0.45957326143677546,4,1
נטע_שפיגלמן,עודד_לאופולד,2,0.1647154708476014,1,0
חנן_סביון,עדנה_בליליוס,2,0.40943711405018035,1,0
חיים_זנאתי,מוריס_כהן_(שחקן),2,0.2820873484150329,1,1
