u,v,years_ahead,probability,v_career_length,director_overlap
טל_פרידמן,עלי_סלימאן,1,0.9302145562863428,1,1
__name__:בתיה בר,יעל_הדר,1,0.832900425406661,20,1
אושרי_כהן,קרן_מור,1,0.9949956255468067,25,1
__name__:משי אולינסקי,קרן_מור,1,0.717145394588515,25,1
__name__:יהלי פרידמן,רותם_קינן,1,0.7818012466063783,4,0
__name__:אבי סויסה,שרון_אלכסנדר,1,0.7829073889523589,32,0
אוהד_שחר,יעקב_כהן_(שחקן),1,0.8991479603127365,5,0
יוסי_מרשק,צח_שפיצן,1,0.8040279783986481,1,2
מאור_כהן,נטע_מורן,1,0.8686432255216827,3,1
__name__:מיכל טרבס,אתי_גרוטס,1,0.611546997771196,39,1
יגאל_נאור,רותם_אבוהב,1,0.8821260220500443,1,1
עפר_שכטר,צביקה_הדר,1,0.9532968634026717,11,1
ליאת_גליק,עמי_סמולרצ'יק,1,0.940668838508121,17,1
__name__:עמרי פירר,נטע_מורן,1,0.5203164221700134,3,1
יורם_חטב,מיקי_לאון,1,0.7290683652915358,5,1
צופית_גרנט,רותם_זיסמן_כהן,1,0.68056129954944,1,1
מוריס_כהן_(שחקן),מיטל_גל_סויסה,1,0.5064014614312314,2,1
אנה_דוברוביצקי,חנה_אזולאי-הספרי,1,0.8971088822473805,31,1
אביטל_אברג'יל,אלברט_אילוז,1,0.8835359698025634,23,1
__name__:אלי בן רעי,לוסי_דובינצ'יק,1,0.8040219121217068,11,1
__name__:מיכל טרבס,יגאל_נאור,1,0.7174641735778013,18,1
נטלי_עטיה,עופר_שכטר,1,0.8569979831808242,10,1
פטריק_סטיוארט,שירי_גדני,1,0.7996609082240621,1,1
__name__:מוני מושונוב,דב_נבון,1,0.6175068732436312,27,1
דנה_פרידר,פרנקו_נרו,1,0.546049578832222,1,1
רותם_זיסמן-כהן,רמי_דנון,1,0.8871666535312375,1,1
אפרת_אביב,ריטה_שוקרון,1,0.7200349931203258,21,1
ארז_שפריר,קובי_פרג',1,0.5458327647238846,2,0
יערה_פלציג,עמנואל_הלפרין,1,0.7547885847688244,1,1
גל_פרידמן_(שחקן),פטריק_סטיוארט,1,0.7154956049776557,1,0
לירון_לב,ציון_אשכנזי,1,0.6740175401436033,1,1
יונתן_בר-אור_(1981),סאלח_בכרי,1,0.7259234754317656,1,1
אסתי_ירושלמי,לאורה_ריבלין,1,0.8264736378767623,45,1
אסיה_נייפלד,עוז_זהבי,1,0.752223144730547,6,1
אוולין_קפלון,נעמה_שנדר,1,0.5431009605198637,1,1
אופיר_נהרי,נעמה_שנדר,1,0.5359568916623645,1,1
הילה_וידור,לטי_גרובמן,1,0.6113797796319262,1,1
אייל_רוזלס,מילי_אביטל,1,0.5239268635332982,15,1
אורי_חזקיה,אפרת_דור,1,0.5852732470674105,4,1
__name__:אלינור קלוגר,יבגניה_דודינה,1,0.7756074256304935,15,1
יונה_אליאן,ליאור_אשכנזי,1,0.5976219731052692,15,1
