title,year,wiki_slug
יהודה המשוחררתאו ארץ ישראל המשוחררת,1918,יהודה_המשוחררת
שיבת ציון (סרט),1920,
ארץ ישראל המתחדשת,1921,
"מעשה בתייר אמריקאי בא""י",1923,
בנים בונים,1924,
התיבה,1927,
אביב בארץ ישראל,1928,
הרפתקאותיו של גדי בן סוסי,1931,הרפתקאותיו_של_גדי_בן_סוסי
יומן ארץ ישראל,1932,
אביב,1933,
עודד הנודד,1933,עודד_הנודד
עבודה,1935,עבודה_(סרט)
מנגינה עברית,1935,
זאת היא הארץ,1935,זאת_היא_הארץ
התקווה,1937,
ילדי השמש,1939,
אדמה,1947,אדמה_(סרט)
קרב ההישרדות[דרוש מקור],1947,
בית הערבה (הבית במדבר),1948,
אין ברירה,1949,
בא היום,1950,
הפוגה,1950,הפוגה_(סרט)
קללה לברכה,1950,קללה_לברכה
אלפיים ושלוש,1951,
דן קישוט וסעדיה פנסא,1956,דן_וסעדיה
התקווה,1959,
בעל החלומות,1962,בעל_החלומות
אשת הגיבור,1963,אשת_הגיבור
בירושלים,1963,בירושלים
האתמול של המחר,1963,
מורדי האור,1966,
פיצוץ בחצות,1966,פיצוץ_בחצות
סבינה והגברים,1966,סבינה_והגברים
אישה בחדר השני,1967,
קומנדו סיני,1968,
הגמל והילד,1968,
המטרה טיראן,1968,המטרה_טיראן
הצד השני,1968,הצד_השני
אסירי החופש,1968,אסירי_החופש
חלומות,1969,
חמישה ימים בסיני,1969,חמישה_ימים_בסיני
המלחמה לאחר המלחמה,1969,המלחמה_לאחר_המלחמה
42:6,1969,
אורח בעונה מתה,1970,אורח_בעונה_מתה
אני ירושלמי,1971,אני_ירושלמי
לא ביום ולא בלילה,1972,לא_ביום_ולא_בלילה
הצד השני,1972,"הצד_השני_(סרט,_1972)"
תיק ירושלים,1972,תיק_ירושלים
אור מן ההפקר,1973,אור_מן_ההפקר
המכה ה-81,1974,המכה_ה-81
המכירה הכללית,1975,
הבננה השחורה,1976,הבננה_השחורה
יעקב ויוסף,1977,
פנטסיה על נושא רומנטי,1977,פנטסיה_על_נושא_רומנטי
אהבה וכדורגל,1978,
קובי ומלי,1978,
טרנזיט,1979,טרנזיט_(1980)
פרשת וינשל,1979,פרשת_וינשל
רגעים,1979,רגעים_(סרט)
ניפגש בספארי,1989,ניפגש_בספארי
שדות ירוקים,1989,"שדות_ירוקים_(סרט,_1989)"
ייפוי כוח,1994,
קיצור תולדות האוהבים,1996,קיצור_תולדות_האוהבים
גן עדן עכשיו,2005,גן_עדן_עכשיו
$9.99,2008,$9.99
כרמל,2009,
עג'מי,2009,עג'מי_(סרט)
לב של אבן,2009,
אני ביאליק,2013,
גולדברג ואייזנברג,2013,
משפחה חדשה,2013,
סוכריות,2013,סוכריות_(סרט)
קריאוקי עם פרנק סינטרה,2013,
אחרי הים,2014,
חלונות,2014,
טירוף כפול שלוש,2014,
רשימות קצמן,2014,
הקיר,2017,הקיר
המצלמה של דוקטור מוריס,2022,המצלמה_של_דוקטור_מוריס
