display_name,eccentricity,n_costars
אוולין הגואל,5,50
אורי גבריאל,5,55
אורי הוכמן,5,25
אלון אבוטבול,5,40
אריק משעלי,5,45
גורי אלפי,5,18
גילה אלמגור,5,28
גרא סנדלר,5,40
דרור קרן,5,35
הילה סעדה,5,28
ולדימיר פרידמן,5,12
יוסי מרשק,5,44
יוסף שילוח,5,7
יחזקאל לזרוב,5,35
יעל אבקסיס,5,38
ישי גולן,5,11
ישראל אטיאס,5,33
ליאור אשכנזי,5,49
מוריס כהן,5,37
מיה דגן,5,14
מיכאל אלוני,5,18
מיכאלה עשת,5,16
מנשה נוי,5,20
מעיין תורג'מן,5,10
משה איבגי,5,57
נלי תגר,5,12
עפר שכטר,5,46
צחי גראד,5,28
רונית אלקבץ,5,22
רותם קינן,5,31
ריימונד אמסלם,5,56
שלומי קוריאט,5,62
ששון גבאי,5,37
