feature,importance,reason
collaboration_count,0.0,Low Importance
u_alive,0.00046657048771898263,Low Importance
adamic_adar,0.0005000481480510726,Low ImportanceHigh Correlation
common_neighbors,0.0005502603504118961,Low ImportanceHigh Correlation
v_alive,0.0007694258935308037,Low Importance
career_overlap,0.002345678530191654,Low Importance
jaccard,0.002613377070848504,Low Importance
v_genre_diversity,0.002833161119981857,Low Importance
genre_overlap,0.003465666791872239,Low Importance
same_main_genre,0.003554574476967474,Low Importance
u_genre_diversity,0.003753151975825435,Low Importance
v_recent,0.003921435531504459,Low Importance
u_career_length,0.00706153386136398,Low Importance
u_film_count,0.009836540638159448,Low ImportanceHigh Correlation
v_film_count,0.013673641068305292,High Correlation
pref_attachment,0.0411286047389456,High Correlation
